S.No,numOfRaters,name,language,averageRating
1,825,"
      Crime and Punishment
",English,4.13
2,903,"
      Crime and Punishment
",English,4.25
3,879,"
      Crime and Punishment
",English,4.12
4,458585,"
      Crime and Punishment
",English,4.18
5,785,"
      Crime and Punishment
",English,4.3
6,398,"
      Crime and Punishment
",English,4.27
7,577,"
      Crime and Punishment
",English,4.31
8,492,"
      Crime And Punishment
",,4.21
9,507,"
      Crime and Punishment
",,4.53
10,524,"
      Crime and Punishment
",English,4.08
11,1043,"
      Crime and Punishment
",English,4.15
12,544,"
      Crime and Punishment
",English,4.01
13,550,"
      Crime and Punishment
",English,4.22
14,433,"
      Έγκλημα και Τιμωρία
","Greek, Modern (1453-)",4.5
15,277,"
      Crime and Punishment
",English,4.37
16,303,"
      Suç ve Ceza
",Turkish,4.57
17,317,"
      Crime and Punishment 
",,4.32
18,297,"
      Crimen y castigo
",Spanish,4.4
19,215,"
      Delitto e castigo
",Italian,4.43
20,327,"
      Zločin i kazna
",Serbian,4.44
21,246,"
      Crime and Punishment
",English,4.15
22,148,"
      الجريمة والعقاب: الجزء الأول والثاني
",Arabic,4.54
23,439,"
      الجريمة والعقاب
",Arabic,4.24
24,163,"
      Suç ve Ceza
",Turkish,4.66
25,124,"
      Crime and Punishment
",,4.3
26,243,"
      Crime and Punishment
",English,4.4
27,173,"
      Nusikaltimas ir bausmė
",Lithuanian,4.38
28,207,"
      Crime and Punishment
",English,4.21
29,153,"
      Suç ve Ceza
",Turkish,4.73
30,142,"
      Crime and Punishment
",English,4.13
31,148,"
      Crime and Punishment
",English,4.41
32,146,"
      Crime and Punishment
",English,4.05
33,804,"
      Crime and Punishment
",English,4.37
34,155,"
      Crime and Punishment  
",English,4.13
35,93,"
      Suç ve Ceza
",Turkish,4.76
36,143,"
      Suç ve Ceza
",Turkish,4.66
37,124,"
      Crimen Y Castigo
",,4.31
38,125,"
      Crime e Castigo
",Portuguese,4.42
39,98,"
      Crime and Punishment
",English,4.28
40,205,"
      Преступление и наказание
",Russian,4.24
41,138,"
      Delitto e castigo
",Italian,4.37
42,78,"
      جنایات و مکافات
",Farsi,4.37
43,79,"
      Crime and Punishment
",,4.16
44,89,"
      Delitto e castigo
",Italian,4.08
45,185,"
      Crime and Punishment
",English,4.11
46,1985,"
      Crime and Punishment
",English,4.2
47,131,"
      Crimen y castigo
",Spanish,4.4
48,131,"
      Rikos ja rangaistus
",Finnish,3.9
49,95,"
      Crime and Punishment
",English,4.34
50,132,"
      Преступление и наказание
",Russian,4.39
51,132,"
      Crime and Punishment
",English,4.05
52,83,"
      Crime and Punishment
",English,4.55
53,109,"
      Crime and Punishment
",English,4.27
54,132,"
      Delitto e castigo: Parte I - II - III - IV
",Italian,4.24
55,120,"
      Suç ve Ceza
",Turkish,4.7
56,137,"
      Nusikaltimas ir bausmė: šešių dalių romanas su epilogu
",Lithuanian,4.46
57,112,"
      Crime and Punishment
",English,3.81
58,66,"
      Crime and Punishment (Illustrated)
",English,4.29
59,89,"
      Suç ve Ceza
",Turkish,4.54
60,70,"
      الجريمة والعقاب
",Arabic,4.51
61,58,"
      Crime and Punishment
",English,4.24
62,125,"
      Преступление и наказание
",English,4.46
63,82,"
      Crime and Punishment
",English,4.05
64,132,"
      Crime and Punishment
",English,4.33
65,63,"
      Crime e Castigo
",Portuguese,4.59
66,124,"
      Crimen y castigo
",Spanish,4.3
67,88,"
      Schuld und Sühne. Roman in sechs Teilen mit einem Epilog
",German,4.35
68,128,"
      Crime and Punishment
",English,4.08
69,115,"
      Crime and Punishment
",Russian,4.29
70,109,"
      Crimen y castigo
",Spanish,4.41
71,72,"
      Delitto e Castigo
",Italian,4.49
72,33,"
      Crime and Punishment
",,4.33
73,59,"
      Crime and Punishment
",English,4.24
74,78,"
      Crimen y Castigo
",Spanish,4.33
75,104,"
      Преступление и наказание
",English,4.37
76,58,"
      Crime et châtiment
",,4.4
77,1583,"
      جنایت و مکافات
",Persian,4.37
78,62,"
      Crime and Punishment
",English,4.24
79,52,"
      الجريمة والعقاب
",Arabic,4.21
80,98,"
      Crime and Punishment
",English,4.54
81,103,"
      Zločin i kazna
",Croatian,4.43
82,89,"
      Crime and Punishment
",English,4.26
83,76,"
      Noziegums un sods
",Latvian,4.49
84,84,"
      Crime and Punishment
",English,4.13
85,27,"
      Crime and Punishment: the Classic Russian Novel by Fyodor Dostoyevsky (Classic Books)
",,4.26
86,48,"
      Crime & Punishment
",,4.54
87,64,"
      Crimen y castigo
",,4.42
88,42,"
      Tội Ác Và Hình Phạt
",Vietnamese,4.81
89,48,"
      Delitto e castigo 
",Italian,4.46
90,79,"
      Delitto e castigo
",Italian,4.66
91,55,"
      Crime and Punishment
",English,4.56
92,95,"
      Zločin in kazen
",Slovenian,4.28
93,61,"
      Schuld und Sühne
",German,4.21
94,62,"
      Delitto e castigo
",Italian,4.39
95,82,"
      Crime and Punishment (Annotated)
",English,4.55
96,71,"
      Crimă și Pedeapsă (2 volume)
",Romanian,4.54
97,58,"
      Delitto e castigo
",Italian,4.4
98,67,"
      Crime and Punishment
",English,4.31
99,66,"
      Crime and Punishment
",English,4.18
100,32,"
      Crime and Punishment
",,3.91
101,37,"
      جنایات و مکافات
",Farsi,4.22
102,73,"
      Преступление и наказание
",Russian,4.3
103,64,"
      Crime and Punishment
",English,4.17
104,42,"
      Schuld und Sühne
",German,4.29
105,49,"
      Crime e Castigo
",Portuguese,4.49
106,77,"
      Crimen y castigo
",Spanish,4.34
107,31,"
      Crime and Punishment
",,4.1
108,72,"
      Crime and Punishment
",,4.38
109,58,"
      Suç ve Ceza
",Turkish,4.59
110,37,"
      الجريمة والعقاب
",Arabic,4.27
111,1358,"
      Crime and Punishment
",English,4.24
112,68,"
      Crime e Castigo
",Portuguese,4.62
113,46,"
      Crime and Punishment: English Version with Illustrations
",English,4.57
114,29,"
      الجريمة والعقاب
",Arabic,4.24
115,91,"
      Crime and Punishment
",English,4.15
116,59,"
      Crimen y castigo
",Spanish,4.63
117,57,"
      Crimen y castigo. (Sepan Cuantos, #108)
",Spanish,4.44
118,58,"
      Crime and Punishment 
",English,4.14
119,84,"
      Crime and Punishment
",English,4.17
120,47,"
      Crimă și pedeapsă
",Romanian,4.49
121,34,"
      Crime and Punishment
",,4.06
122,31,"
      Schuld und Sühne
",German,4.26
123,40,"
      Crime e Castigo
",,4.63
124,44,"
      Crime and Punishment
",English,4.55
125,65,"
      Crime and Punishment (Illustrated)
",English,4.22
126,39,"
      Delitto e castigo
",Italian,4.38
127,47,"
      Crimen Y Castigo
",Spanish,4.53
128,31,"
      Crime e Castigo
",Portuguese,4.45
129,51,"
      Delitto e castigo
",Italian,4.18
130,70,"
      Crime and Punishment (Literary Touchstone Edition)
",English,4.07
131,55,"
      Crime and Punishment
",English,4.45
132,48,"
      Crimen y Castigo
",,4.56
133,59,"
      Crime et Châtiment
",French,4.1
134,33,"
      Crime e Castigo
",Portuguese,4.48
135,34,"
      Crime and Punishment
",English,4.06
136,50,"
      Crime and Punishment 
",English,4.54
137,55,"
      Forbrydelse og Straf
",Danish,4.2
138,48,"
      დანაშაული და სასჯელი
",Georgian,4.75
139,3611,"
      Crime and Punishment
",English,4.24
140,52,"
      Crime and Punishment
",English,4.29
141,58,"
      Brott och straff
",Swedish,4.02
142,41,"
      Crime and Punishment (Illustrated)
",English,4.2
143,28,"
      Crime and Punishment
",,4.57
144,41,"
      Crime and Punishment
",,4.17
145,42,"
      Crime e Castigo
",Portuguese,4.55
146,47,"
      Verbrechen und Strafe
",German,4.51
147,66,"
      جنایت و مکافات
",,4.32
148,59,"
      Zločin i kazna
",Serbian,4.31
149,41,"
      Delitto e castigo
",Italian,4.29
150,63,"
      Преступление и наказание (Русская классическая литература)
",English,4.49
151,73,"
      Преступление и наказание
",Russian,4.29
152,51,"
      Crime And Punishment
",,4.41
153,24,"
      Tội ác và trừng phạt
",Vietnamese,4.42
154,60,"
      Kejahatan dan Hukuman
",Indonesian,4.02
155,45,"
      Brott och straff
",Swedish,4.09
156,25,"
      Crime And Punishment
",,4.16
157,40,"
      Crime and Punishment
",English,4.1
158,21,"
      Crimen y castigo
",Spanish,4.29
159,47,"
      Crime et Châtiment
",French,4.21
160,27,"
      Crime and Punishment (First Avenue Classics)
",English,4.37
161,62,"
      Crime and Punishment
",English,3.98
162,57,"
      جنایت و مکافات
",,4.39
163,37,"
      Crimen y castigo
",Spanish,4.54
164,30,"
      Crime and Punishment
",English,4.03
165,58,"
      Crime and Punishment
",English,4.28
166,49,"
      Crimen y castigo
",Spanish,4.53
167,24,"
      Crime and Punishment
",English,4.38
168,7199,"
      Crime and Punishment
",English,4.28
169,8,"
      Crime and Punishment = الجريمة و العقاب : عربي - إنكليزي
",Multiple languages,3.5
170,40,"
      Crimen y castigo
",Spanish,4.43
171,38,"
      Crime and Punishment
",,4.39
172,15,"
      Crime and Punishment: (Annotated with short biography)
",English,3.93
173,42,"
      Verbrechen und Strafe
",German,4.29
174,58,"
      Преступление и наказание
",Russian,4.26
175,49,"
      Crime and punishment (A Norton critical edition)
",,4.29
176,31,"
      Suç ve Ceza
",Turkish,4.61
177,42,"
      Преступление и наказание
",Russian,4.52
178,39,"
      Nusikaltimas ir bausmė
",Lithuanian,4.33
179,136,"
      Crime and Punishment
",English,4.49
180,29,"
      Crime and Punishment
",English,4.24
181,41,"
      Crimen y castigo
",Spanish,4.2
182,46,"
      Crime and Punishment (The Unabridged Garnett Translation)
",English,4.33
183,48,"
      Crime and Punishment
",,4.54
184,56,"
      Suç ve Ceza
",Turkish,4.45
185,48,"
      Crime e Castigo
",Portuguese,4.33
186,35,"
      جنایت و مکافات
",,4.66
187,53,"
      Crime and Punishment 
",English,4.25
188,31,"
      Crime and Punishment
",English,4.19
189,51,"
      Crime and Punishment  
",English,3.92
190,42,"
      Brott och straff
",Swedish,4.24
191,32,"
      Misdaad en straf
",Dutch,4.13
192,37,"
      Schuld und Sühne
",German,4.32
193,937,"
      Crimă și pedeapsă
",Romanian,4.66
194,41,"
      Crimen y castigo
",English,4.49
195,8,"
      الجريمه والعقاب
",Arabic,3.75
196,44,"
      Crim i càstig
",Catalan; Valencian,4.5
197,25,"
      Crime and Punishment
",English,3.96
198,38,"
      Crime and Punishment
",English,4.34
199,17,"
      Crime and Punishment (The Modern Library of the World's Best Books)
",English,4.0
200,32,"
      Misdaad en straf 
",Dutch,4.44
201,36,"
      Crime and Punishment
",English,4.31
202,39,"
      Crime and Punishment
",English,4.23
203,24,"
      Crime And Punishment
",English,4.38
204,31,"
      Crime and Punishment
",,4.39
205,47,"
      Zločin a trest
",Czech,4.32
206,46,"
      Crime and Punishment 
",,4.41
207,27,"
      Crime et châtiment
",,4.56
208,42,"
      Schuld und Sühne
",,4.38
209,44,"
      Crime and Punishment
",English,4.41
210,296,"
      Crime and Punishment 
",English,4.26
211,31,"
      Crime and Punishment (Norton Critical Editions)
",English,4.42
212,25,"
      Delitto e castigo
",Italian,4.68
213,29,"
      Crimen y Castigo
",Spanish,4.62
214,21,"
      Crimen y castigo
",Spanish,4.1
215,40,"
      Crimă și pedeapsă
",Romanian,4.6
216,27,"
      Misdaad en straf
",Dutch,3.93
217,43,"
      Crime and Punishment (OBG Classics)
",,4.0
218,45,"
      Raskolnikow - Schuld und Sühne
",German,4.62
219,36,"
      Crime and Punishment
",English,4.31
220,41,"
      Преступление и наказание
",Russian,4.29
221,17,"
      الجريمة والعقاب
",Arabic,4.41
222,33,"
      Crime and Punishment 
",English,4.12
223,34,"
      Crime and Punishment
",English,3.85
224,37,"
      Crime and Punishment
",English,3.92
225,1191,"
      Crimen y castigo
",Spanish,4.41
226,17,"
      Harvard Classics Shelf of Fiction Vol. 18 (Crime and Punishment) 
",English,3.88
227,21,"
      Crimen y castigo
",Spanish,4.62
228,348,"
      Crime and Punishment
",English,4.39
229,42,"
      جنایت و مکافات
",Persian,4.07
230,30,"
      Crimen y castigo
",Spanish,4.53
231,21,"
      Crime and Punishment 
",,4.29
232,40,"
      Crime and Punishment  
",,4.5
233,41,"
      Crime and Punishment
",,3.9
234,28,"
      Suç ve Ceza
",Turkish,4.71
235,33,"
      Crimen y castigo (Con notas)
",English,4.33
236,46,"
      Crime et Chatiment 
",Russian,4.5
237,35,"
      Suç ve Ceza
",Turkish,4.83
238,41,"
      Crimen y castigo
",Spanish,4.17
239,26,"
      Kuritöö ja karistus (Eesti Päevalehe romaaniklassika, #2)
",Estonian,4.0
240,34,"
      Crime and Punishment
",English,3.88
241,11,"
      Crime and Punishment: A Norton Critical Edition
",English,4.82
242,24,"
      Schuld und Sühne: Raskolnikoff
",,4.33
243,37,"
      Crime and Punishment
",English,4.57
244,28,"
      Crime and Punishment
",English,4.25
245,671,"
      Crime e Castigo
",Portuguese,4.62
246,16,"
      Crimen y castigo
",Spanish,4.63
247,22,"
      Schuld en Boete
",Dutch,4.05
248,26,"
      Crime and Punishment  
",,3.92
249,45,"
      Delitto e castigo
",Italian,4.51
250,13,"
      الجريمة والعقاب
",Arabic,4.62
251,33,"
      Crimen y castigo
",Spanish,4.58
252,40,"
      Crime and Punishment
",English,4.03
253,26,"
      Schuld und Sühne
",German,4.31
254,14,"
      החטא ועונשו
",Hebrew,4.5
255,20,"
      Crime and Punishment 
",,4.1
256,31,"
      Crime and Punishment
",English,3.87
257,23,"
      Suç ve Ceza
",Turkish,5.0
258,30,"
      Престъпление и наказание
",Russian,4.4
259,37,"
      Crime and Punishment
",English,3.89
260,23,"
      Schuld und Sühne
",German,4.13
261,30,"
      Suç ve Ceza
",Turkish,4.2
262,22,"
      Crimen y castigo
",Spanish,4.73
263,13,"
      Delitto e castigo
",Italian,4.46
264,21,"
      Crime and Punishment
",,4.43
265,28,"
      Crime and Punishment
",,4.71
266,35,"
      Suç ve Ceza
",Turkish,4.71
267,37,"
      Delitto e castigo
",Italian,4.38
268,41,"
      Crimen y castigo
",Spanish,4.66
269,26,"
      Crime and Punishment
",,4.42
270,29,"
      Преступление и наказание (Золотой фонд мировой литературы)
",,4.72
271,28,"
      Brott och straff
",Swedish,3.93
272,36,"
      Rikos ja rangaistus
",Finnish,3.72
273,31,"
      Crime e Castigo
",Portuguese,4.65
274,43,"
      Crima si pedeapsa
",Romanian,4.65
275,16,"
      Crime and Punishment
",,4.56
276,38,"
      Преступление и наказание
",Russian,4.58
277,31,"
      Crime and Punishment
",English,4.32
278,39,"
      Crime and Punishment 
",,4.1
279,31,"
      Crime and Punishment 
",English,4.06
280,31,"
      Crime and Punishment
",English,4.19
281,21,"
      Zločin a trest
",Slovak,4.52
282,20,"
      Schuld und Sühne
",,4.3
283,24,"
      Delitto e castigo 
",Italian,4.38
284,38,"
      Zbrodnia i kara
",Polish,4.18
285,599,"
      الجريمة والعقاب
",Arabic,4.3
286,128,"
      Crime And Punishment
",English,4.35
287,9,"
      Crime and Punishment: By Fyodor Dostoyevsky & Illustrated (An Audiobook Free!)
",English,4.0
288,33,"
      Crimen y Castigo
",,4.24
289,29,"
      Crimen y castigo
",Spanish,4.55
290,31,"
      Crime and Punishment
",English,4.13
291,16,"
      Crime and Punishment: A Novel in Six Parts and an Epilogue
",English,4.69
292,16,"
      Suç ve Ceza
",,4.69
293,29,"
      Crimen y Castigo
",,4.41
294,11,"
      Kuttavum Sikshayum
",Malayalam,4.18
295,33,"
      Crime and Punishment: (with commentary)
",English,4.27
296,31,"
      Crimen y castigo
",,4.29
297,25,"
      Delitto e castigo
",Italian,4.56
298,12,"
      Crime and Punishment by Fyodor Dostoyevsky
",English,4.33
299,16,"
      Crimen y Castigo (texto completo, con índice activo)
",English,4.56
300,21,"
      Misdaad en straf
",Dutch,4.43
301,18,"
      Crime et châtiment
",French,4.44
302,25,"
      Crime and Punishment
",English,4.24
303,11,"
      Crime and Punishment
",,3.82
304,18,"
      Crime and Punishment
",English,4.0
305,18,"
      الجريمة والعقاب
",Arabic,3.28
306,26,"
      Zlocin i kazna
",,4.42
307,17,"
      Misdaad en straf
",Dutch,4.12
308,24,"
      Zbrodnia i kara
",Polish,4.08
309,25,"
      Glæpur og refsing
",Icelandic,4.36
310,32,"
      Crime and Punishment
",English,4.47
311,4,"
      Crime and Punishment
",,4.0
312,20,"
      Crime and Punishment
",English,4.55
313,22,"
      Crimen y Castigo
",Spanish,4.59
314,9,"
      Crime and Punishment: Classic World Literature
",,4.0
315,26,"
      Crime and Punishment
",,4.15
316,16,"
      Crime and Punishment
",English,4.25
317,27,"
      Zbrodnia i kara
",Polish,4.37
318,26,"
      Crimen y castigo
",Spanish,4.69
319,23,"
      Bűn és bűnhődés
",Hungarian,4.43
320,34,"
      Преступление и наказание
",Russian,4.21
321,17,"
      Kuttavum shikshayum | കുറ്റവും ശിക്ഷയും
",Malayalam,3.76
322,23,"
      Verzamelde werken 5. Misdaad en straf
",Dutch,4.3
323,19,"
      جنایت و مکافات: دو جلدی
",Persian,4.42
324,1538,"
      Delitto e castigo
",Italian,4.48
325,20,"
      Crime and Punishment, A Norton Critical Edition
",English,4.3
326,28,"
      Zbrodnia i kara
",Polish,4.11
327,14,"
      Crime e Castigo
",,4.79
328,20,"
      Crime and punishment
",,4.3
329,23,"
      Crime and Punishment (Pilgrim Classics Annotated)
",English,4.09
330,14,"
      Delitto e castigo (Vol.  I - II - III)
",Italian,4.21
331,23,"
      Schuld und Sühne
",German,4.0
332,25,"
      Crime and Punishment
",,4.4
333,15,"
      Crime et Châtiment
",French,4.6
334,1713,"
      Suç ve Ceza
",Turkish,4.69
335,21,"
      Crime and Punishment
",,4.19
336,21,"
      Schuld Und Sühne
",,4.52
337,17,"
      Crime et Châtiment
",French,4.59
338,30,"
      Crime and Punishment
",English,4.47
339,19,"
      Преступление и наказание
",,4.58
340,20,"
      Delitto e castigo
",Italian,4.55
